id,idade,renda_anual,pontuacao_gastos,cluster
118,25,45351,85,1
119,52,108668,89,2
120,52,134585,43,0
121,50,35305,24,1
122,22,95353,16,0
123,59,96797,12,0
124,56,85953,83,2
125,58,77458,24,0
126,45,127112,67,2
127,24,40358,9,1
128,26,23267,66,1
129,25,102745,17,0
130,29,109588,99,2
131,51,58513,85,2
132,50,46092,33,1
133,65,31338,7,1
134,40,20412,39,1
135,41,27543,82,1
136,54,125891,41,0
137,52,53496,40,1
138,61,80692,100,2
139,57,109084,5,0
140,39,112920,51,0
141,44,143555,25,0
142,52,64425,63,1
143,18,58756,97,1
144,52,38888,58,1
145,54,55735,55,1
146,64,67295,58,2
147,31,137474,69,2
148,20,134352,100,2
149,18,103042,32,0
150,22,105999,52,0
151,43,37955,21,1
152,31,57841,20,1
153,56,90640,69,2
154,44,85510,69,2
155,26,54911,3,0
156,32,79031,93,2
157,32,108726,74,2
158,43,27357,61,1
159,59,52479,61,1
160,30,81476,93,2
161,68,64811,94,2
162,49,56208,23,1
163,56,40150,54,1
164,66,91180,8,0
165,69,63286,2,0
166,49,132856,30,0
167,21,88450,39,0
168,47,41352,100,1
169,54,75069,35,1
170,40,131888,23,0
171,56,130448,94,2
172,62,34397,5,1
173,32,61555,65,1
174,60,66959,83,2
175,46,20728,91,1
176,53,70517,74,2
177,30,139180,3,0
178,49,86234,78,2
179,24,59954,5,0
180,68,67280,93,2
181,39,99459,50,0
182,45,36779,61,1
183,19,83932,56,1
184,59,92936,65,2
185,62,44466,78,1
186,70,56939,74,2
187,23,89896,7,0
188,45,55270,25,1
189,45,79163,50,1
190,61,102637,44,2
191,61,71934,43,1
192,37,84895,4,0
193,47,52307,69,1
194,28,74098,25,0
195,45,80921,67,2
196,42,25486,18,1
197,56,28335,83,1
198,50,106900,96,2
199,18,146020,19,0
200,44,141954,11,0
201,69,122795,46,2
202,30,109112,0,0
203,58,117203,89,2
204,20,31130,13,1
205,56,107508,63,2
206,23,125955,37,0
207,25,138324,36,0
208,44,80566,10,0
209,26,86703,99,2
210,54,47192,76,1
211,50,21062,2,1
212,68,104076,32,0
213,59,109780,5,0
214,61,41545,49,1
215,41,41689,9,1
216,32,31174,4,1
217,49,108461,22,0
218,49,146174,9,0
219,41,123033,43,0
220,58,29348,1,1
221,69,43714,12,1
222,66,58102,39,1
223,66,94460,1,0
224,69,122634,83,2
225,29,109930,64,2
226,56,26801,62,1
227,19,123150,100,2
228,20,92267,72,2
229,66,68136,16,0
230,54,43625,8,1
231,66,102873,74,2
232,34,120843,14,0
233,66,92592,23,0
234,19,97052,37,0
235,19,64261,34,1
236,45,21542,93,1
237,40,41677,94,1
238,54,66732,48,1
239,49,70343,68,2
240,50,59081,61,1
241,18,82856,59,1
242,36,113105,49,0
243,19,108858,77,2
244,70,39065,74,1
245,61,144097,8,0
246,43,103460,33,0
247,49,108092,75,2
248,23,146116,98,2
249,49,74693,34,1
250,21,46962,0,1
251,28,48295,39,1
252,34,33807,63,1
253,55,62348,21,1
254,41,46432,59,1
255,22,103285,63,2
256,69,126995,92,2
257,51,111792,71,2
258,23,77854,10,0
259,39,60262,100,2
260,28,57080,13,1
261,65,21324,59,1
262,33,111267,29,0
263,50,144707,34,0
264,26,55909,84,1
265,23,109339,36,0
266,33,39870,4,1
267,46,54578,82,1
268,20,92124,77,2
269,37,137611,25,0
270,53,123605,61,2
271,36,46790,3,1
272,43,138874,88,2
273,20,45289,41,1
274,36,75129,88,2
275,37,113714,17,0
276,49,114246,39,0
277,24,35485,71,1
278,69,64482,38,1
279,58,106188,13,0
280,50,24748,31,1
281,57,106769,50,2
282,56,29435,37,1
283,35,23709,96,1
284,57,143961,22,0
285,18,50355,62,1
286,28,75771,14,0
287,45,77799,96,2
288,42,33116,24,1
289,67,45470,16,1
290,40,62344,96,2
291,48,62918,65,1
292,47,72224,77,2
293,59,59298,52,1
294,52,128492,50,2
295,24,100219,38,0
296,33,81629,50,1
297,43,86040,69,2
298,65,119518,5,0
299,69,119835,66,2
300,66,48016,6,1
301,19,43960,50,1
302,18,53591,71,1
303,65,102848,41,2
304,29,123333,63,2
305,22,131732,14,0
306,54,134821,28,0
307,49,87641,32,0
308,26,56395,93,1
309,58,131276,26,0
310,52,149695,35,0
311,36,42700,28,1
312,65,54620,37,1
313,33,123214,56,0
314,20,148148,96,2
315,37,40559,100,1
316,41,113045,26,0
317,50,113396,54,2
318,41,81642,32,0
319,69,96539,67,2
320,28,41732,85,1
321,66,148675,65,2
322,25,111362,9,0
323,53,50354,4,1
324,55,33843,73,1
325,57,130008,96,2
326,37,134065,37,0
327,52,91726,12,0
328,65,37640,30,1
329,42,72528,46,1
330,52,58413,99,2
331,42,148142,87,2
332,46,72638,51,1
333,35,72736,55,1
334,63,127892,14,0
335,35,130133,28,0
336,19,126357,7,0
337,52,88866,4,0
338,33,39087,28,1
339,58,61430,46,1
340,53,44504,67,1
341,50,27114,75,1
342,21,98859,44,0
343,50,119657,1,0
344,31,30975,26,1
345,38,31023,94,1
346,65,41447,35,1
347,37,110469,35,0
348,25,145899,25,0
349,24,43959,42,1
350,20,86203,26,0
351,34,139156,68,2
352,50,49703,19,1
353,65,29337,10,1
354,29,66427,73,1
355,68,141507,37,0
356,39,81529,5,0
357,39,122023,71,2
358,63,104665,22,0
359,47,125787,46,0
360,55,51921,89,2
361,55,53307,45,1
362,62,47355,11,1
363,68,123268,89,2
364,25,147016,12,0
365,44,24835,61,1
366,44,40159,81,1
367,51,124346,88,2
368,38,67605,96,2
369,47,141790,59,2
370,50,125616,42,0
371,45,58088,75,1
372,64,98752,99,2
373,50,75284,67,2
374,22,77043,4,0
375,65,145388,36,0
376,36,55547,71,1
377,21,117007,91,2
378,52,102844,30,0
379,66,47532,8,1
380,34,54349,50,1
381,61,142402,28,0
382,45,138012,77,2
383,47,65445,39,1
384,46,25713,40,1
385,63,76178,85,2
386,70,69407,10,0
387,23,90340,22,0
388,52,70990,0,0
389,58,95672,45,2
390,54,149473,100,2
391,41,85545,20,0
392,46,104791,89,2
393,66,78141,35,1
394,63,43793,53,1
395,70,76570,86,2
396,48,115084,56,2
397,52,57892,0,0
398,50,21015,62,1
399,69,144704,53,2
400,38,81813,54,1
401,49,47712,39,1
402,40,120497,14,0
403,50,28415,20,1
404,20,131854,46,0
405,35,132816,72,2
406,42,148778,52,0
407,59,82292,8,0
408,48,43833,73,1
409,20,24158,51,1
410,57,82680,56,2
411,63,40309,25,1
412,41,26970,40,1
413,67,92474,34,0
414,49,106704,62,2
415,64,66540,24,1
416,39,40384,89,1
417,40,38017,74,1
418,19,95880,37,0
419,44,125570,1,0
420,59,28702,6,1
421,19,20384,81,1
422,43,20404,90,1
423,34,60943,33,1
424,57,67926,90,2
425,50,49189,16,1
426,26,32763,42,1
427,60,38384,58,1
428,65,80100,50,2
429,56,118142,53,2
430,46,29860,23,1
431,59,124293,24,0
432,43,100642,70,2
433,52,70612,51,1
434,67,43574,69,1
435,42,43524,87,1
436,41,89172,32,0
437,30,30916,48,1
438,24,24809,28,1
439,53,52201,62,1
440,62,73330,21,0
441,37,33456,25,1
442,18,133748,27,0
443,25,76397,84,2
444,63,141288,48,2
445,33,58765,70,1
446,31,54816,80,1
447,29,65106,83,1
448,68,73932,48,2
449,40,37100,19,1
450,32,77091,85,2
451,45,41949,91,1
452,51,90080,62,2
453,19,57744,60,1
454,49,65543,48,1
455,40,128319,70,2
456,39,112193,0,0
457,68,56187,95,2
458,42,132734,12,0
459,39,27239,93,1
460,39,144454,86,2
461,66,34489,50,1
462,69,134937,55,2
463,59,78017,82,2
464,23,81877,61,1
465,32,63125,31,1
466,60,69922,29,1
467,54,114074,28,0
468,50,52049,48,1
469,25,57131,44,1
470,70,62944,92,2
471,61,135765,29,0
472,61,93963,15,0
473,22,126884,39,0
474,56,145917,18,0
475,21,44285,17,1
476,23,57626,0,0
477,62,62808,77,2
478,49,108464,46,0
479,69,73871,65,2
480,47,39198,91,1
481,64,39758,93,1
482,52,35254,37,1
483,57,64238,50,1
484,69,21252,62,1
485,33,59764,3,0
486,30,97709,0,0
487,67,57441,7,1
488,59,112234,28,0
489,47,73682,54,1
490,36,79494,2,0
491,34,101317,31,0
492,36,85215,9,0
493,45,98587,73,2
494,43,125185,82,2
495,54,26949,33,1
496,43,127825,96,2
497,70,75393,86,2
498,40,93553,54,2
499,26,26941,91,1
500,29,45934,31,1
